Web,Count
linkinghub.elsevier.com,31
www.frontiersin.org,3
www.nature.com,57
www.jci.org,1
jamanetwork.com,6
academic.oup.com,7
journals.plos.org,8
journals.lww.com,3
www.cambridge.org,1
alzres.biomedcentral.com,1
www.life-science-alliance.org,1
link.springer.com,1
bmcpublichealth.biomedcentral.com,1
gh.bmj.com,1
arxiv.org,3
tmb.apaopen.org,1
www.jmir.org,1
ieeexplore.ieee.org,3
pubs.aip.org,2
www.liebertpub.com,1
journals.aps.org,2
pubs.rsc.org,2
hcvalidate.perfdrive.com,11
www.jstage.jst.go.jp,1
www.mdpi.com,1
