pls,fk_score,ari_score,reference,abstract
"
	尽管钙钛矿太阳能电池的稳定性在逐渐提高，但它仍然是钙钛矿光伏商业化的最关键限制，迫切需要进一步改善。由于性能损失和钙钛矿太阳能电池的寿命衰减主要始于晶界和界面，这也是缺陷和可移动离子在外部应力下（如持续照明、湿润环境和高温）积聚的地方。因此，减少表面缺陷并抑制离子迁移对于实现钙钛矿太阳能电池的长期稳定至关重要。
	瑞典乌普萨拉大学杨博文研究员和Anders Hagfeldt教授首次提出并使用了一类新型多功能硫鎓盐，DMPSESI，作为表面钝化材料稳定高效甲脒铅碘钙钛矿太阳能电池，使其在保持高效的同时表现出卓越的器件稳定性。经过DMPESI表面处理过的甲脒铅碘膜薄可以在室温下两年保持纯黑相，并且钝化的电池在4500小时的MPPT稳定性测试中效率损失小于1%。同时，该研究还对于钝化处理后的钙钛矿薄膜提供了全面的表征和分析并详细阐明了这种新型硫鎓盐的独特性质和功能。
	2024年1月4日，该研究以“Multifunctional sulfonium-based treatment for perovskite solar cells with less than 1% efficiency loss over 4,500-h operational stability tests”为题，发表在期刊上。论文第一作者为索嘉嘉、杨博文；论文通讯作者为杨博文、Edoardo Mosconi和Anders Hagfeldt。
	文章作者首次设计并使用了一类新型多功能硫鎓盐，DMPSESI，作为表面钝化材料稳定甲脒铅碘钙钛矿膜薄。由于这种硫鎓盐与水分子相互作用较弱，因此经过表面处理后，钙钛矿薄膜的疏水性有了显著提高，从而增强了电池器件在潮湿条件下的稳定性。同时，作者发现硫鎓盐处理后的甲脒铅碘钙钛矿膜薄也具有极高的光照稳定性。
	图1：钝化后的钙钛矿薄膜在湿度和光照条件下的稳定性。
	通过实验认证及理论计算，作者发现与通常在表面处理后形成低维钙钛矿的铵盐不同，这种新型的硫鎓盐DMPESI易与甲脒铅碘反应，在高覆盖率下建立分子间相互作用，形成硫鎓盐与甲脒铅碘的混合物，从而起到钝化效果。
	图2：硫鎓盐对甲脒铅碘钙钛矿之间的作用机制。
	实验证明适量的硫鎓盐DMPESI可以有效延长载流子寿命，提高钝化后的钙钛矿薄膜质量，减少非辐射复合。最终明显提高器件性能，尤其是开压和填充因子。
	图3：钙钛矿薄膜和器件的光电特性。
	作者发现钝化后的器件在各种老化测试中都表现出了极好的稳定性，包括室温存储、热循环测试、双85湿热测试、光照下MPPT测试等。值得强调的是钝化后的器件经过半年的MPPT测试，依然显示出非常出色的运行稳定性，效率几乎没有下降（不到1%）。这是迄今为止报道的最稳定、高效的钙钛矿太阳能电池之一。作者通过对同一批次和不同批次中的其他电池进行测试，均得到了类似的结果。对这些数据进行线性模拟可以得到一个超过九年的理论T80值。
	图4：钙钛矿太阳能电池的稳定性。
	","score: 56.60456790123456, grade_level: '57'","score: 94.42981481481482, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1038/s41560-023-01421-6,"The stabilization of grain boundaries and surfaces of the perovskite layer is critical to extend the durability of perovskite solar cells. Here we introduced a sulfonium-based molecule, dimethylphenethylsulfonium iodide (DMPESI), for the post-deposition treatment of formamidinium lead iodide perovskite films. The treated films show improved stability upon light soaking and remains in the black α phase after two years ageing under ambient condition without encapsulation. The DMPESI-treated perovskite solar cells show less than 1% performance loss after more than 4,500 h at maximum power point tracking, yielding a theoretical T80 of over nine years under continuous 1-sun illumination. The solar cells also display less than 5% power conversion efficiency drops under various ageing conditions, including 100 thermal cycles between 25 °C and 85 °C and an 1,050-h damp heat test."
"
	近日，中国科学院大连化学物理研究所研究员章福祥团队设计合成了一种单原子铱修饰镍合金催化剂，用于碱性电解水析氢、析氧，具有水分子活化与H-H、O-O偶联功能，显著降低了析氢与析氧的过电势。相关成果发表在《先进材料》上。
	太阳能光催化技术是实现太阳能至化学能转化的重要方式之一，而高效助催化剂的开发是实现高效光化学转化的重要一环。近年来大连化物所致力于通过电催化剂的优化设计开发高效光催化助催化剂，在电催化析氢、电催化析氧等催化剂设计合成与机理研究方面取得系列进展。
	本工作中，研究团队设计合成了一种MoO氧化物负载的单原子铱修饰镍合金电催化剂，展示了优异的碱性电解水析氢、析氧性能。原位表征和密度泛函理论计算结果表明，Ir1/Ni界面可显著降低了氢结合能，而Ir单原子修饰可促进Ni物种的表面重构进而提高OH中间物种的覆盖度，降低OER的速控步电势。
	单原子Ir1Ni合金催化剂的开发有望作为助催化剂用于高效太阳能光化学转化，降低贵金属含量，为绿氢制备规模化奠定基础。",None,None,https://doi.org/10.1002/adma.202305437,"Hetero‐interface engineering has been widely employed to develop supported multicomponent catalysts for water electrolysis, but it still remains a substantial challenge for supported single atom alloys. Herein a conductive oxide MoO2 supported Ir1Ni single atom alloys (Ir1Ni@MoO2 SAAs) bifunctional electrocatalysts through surface segregation coupled with galvanic replacement reaction, where the Ir atoms are atomically anchored onto the surface of Ni nanoclusters via the Ir‐Ni coordination accompanied with electron transfer from Ni to Ir is reported. Benefiting from the unique structure, the Ir1Ni@MoO2 SAAs not only exhibit low overpotential of 48.6 mV at 10 mA cm−2 and Tafel slope of 19 mV dec−1 for hydrogen evolution reaction, but also show highly efficient alkaline water oxidation with overpotential of 280 mV at 10 mA cm−2. Their overall water electrolysis exhibits a low cell voltage of 1.52 V at 10 mA cm−2 and excellent durability. Experiments and theoretical calculations reveal that the Ir‐Ni interface effectively weakens hydrogen binding energy, and decoration of the Ir single atoms boost surface reconstruction of Ni species to enhance the coverage of intermediates (OH*) and switch the potential‐determining step. It is suggested that this approach opens up a promising avenue to design efficient and durable precious metal bifunctional electrocatalysts."
"
	随着人类社会对可持续清洁能源的需求日益增加，多相光催化分解水产氢体系受到了越来越多的关注。该催化体系可以将太阳能转化为氢燃料，在能源、环境、催化等多个领域具有重要价值。然而，目前对该体系的报道中，能量转化效率过低，与实际生产应用的要求存在较大差距。同时，对于纯水的大量需求也可能加剧淡水资源的短缺。因此，开发新的催化体系，并充分利用地球广泛存在的海水资源，成为了该领域科研工作者面临的新挑战。
	2024年1月4日，英国牛津大学Edman Tsang团队与华东理工大学吴新平团队合作，在期刊上发表了一篇题为“Electrolyte-assisted polarization leading to enhanced charge separation and solar-to-hydrogen conversion efficiency of seawater splitting”的研究成果。该成果报道了一种太阳光驱动下海水高温分解产氢的新策略，取得了高达15.9%的能量转化效率，超过了目前已报道的同类体系。同时，该成果清晰地揭示了海水中电解质离子在该催化体系中促进光生载流子分离的作用机制，对该体系在纳米甚至原子尺度有了新的认识，创新地提出了电解质辅助极化效应，并初步探究了其在实际生产应用中的可行性。
	论文通讯作者是Edman Tsang、吴新平；第一作者是李易扬。
	光催化分解水产氢体系在近几十年来受到了广泛而持续的关注，因其可高效地将太阳能转化为氢能源。氢能具有绿色、高热值等优点，这意味着其可能是取代化石能源、长期储能的一种重要方案。与其他多相光催化体系类似，该体系中存在着以下关键步骤：（1）半导体光催化剂受光激发，产生激发态的光生载流子（电子及空穴）；（2）光生载流子分离并向催化剂表面迁移；（3）到达表面活性位点的光生载流子与反应物相互作用，完成氧化还原反应。太阳能制氢能转化效率是评价该体系性能的重要参数之一，目前，文献报道的能量转化效率大多在5%以下，与实际应用的需求尚存较大差距。这主要是由于光生电子及空穴的分离效率较低，光生载流子发生快速复合，未能参与到后续的化学反应中，以致难以高效利用太阳能。此外，由于海洋中蕴含了地球上超过95%的水资源，所以越来越多的人开始关注到海水的光催化分解，以降低该策略对淡水资源需求的压力。但由于海水中存在着以氯化钠为主的大量电解质离子，其对光催化过程可能产生较为复杂的作用，对此，目前学界尚存有较大争议。由此可见，开发稳定高效的光解海水制氢催化剂，并探究海水中电解质离子在该体系中的作用机制具有关键意义。
	Edman Tsang团队和吴新平团队基于之前在高温多相光催化分解纯水方面的工作（., 2019, 10, 4421; , 2022, 15, 265-277），构建了晶面调控的氮掺杂二氧化钛纳米颗粒催化剂（N-TiO），并将其应用于高温光解海水制氢反应中。该工作首先以较为简单的氯化钠水溶液作为研究对象，以阐明电解质在光催化水分解反应中的作用机制，随即制备了多种人造海水并采集了天然海水展开了更为系统的探讨。催化测试结果表明，光催化反应活性与溶液的离子强度呈正相关，充分体现了电解质离子在该催化过程中的重要作用。
	为深入探索电解质效应的作用机制，Edman Tsang团队采用了多种表征技术展开研究。时间分辨光致发光光谱结果表明，光生载流子的寿命也与溶液中的离子强度呈正相关。扫描透射电子显微镜和近常压X光电子能谱结果均表明，光生电子会选择性地向N-TiO催化剂的（101）晶面迁移，而光生空穴会向（001）晶面迁移，致使载流子在催化剂内部实现空间上的分离。这种具有晶面选择性的载流子迁移进而使两种晶面分别带有正电荷和负电荷，而带有不同电荷的表面会分别吸引带有相反电荷的电解质离子，在催化剂表面附近形成局部电场。局部电场随即会反作用于催化剂内部的光生载流子，延长其寿命。最终，这种电解质辅助极化效应大大提升了催化产氢的活性及能量转化效率。吴新平团队构建了贴近实际光催化反应体系的模型，开展了系统的密度泛函理论（DFT）计算，并创新性地提出了电解质诱导电荷极化能作为指标定量衡量电解质辅助极化效应，建立了该指标与光催化反应活性以及光生载流子寿命的关联，为上述电解质辅助极化效应的作用机理提供了详实的理论依据。
	综上所述，本工作系统地展示了高温条件下光解海水制氢的新策略，阐明了电解质离子在该体系中的关键作用，并初步评估了该体系在实际应用中的可行性。该工作为光催化分解水体系的工业化提供了新的思路，有望推动该研究领域的进一步发展。","score: 90.8165625, grade_level: '91'","score: 140.7358984375, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1038/s41929-023-01069-1,"Photocatalytic splitting of seawater for hydrogen evolution has attracted a great deal of attention in recent years. However, the poor energy conversion efficiency and stability of photocatalysts in a salty environment have greatly hindered further applications of this technology. Moreover, the effects of electrolytes in seawater remain controversial. Here we present electrolyte-assisted charge polarization over an N-doped TiO2 photocatalyst, which demonstrates the stoichiometric evolution of H2 and O2 from the thermo-assisted photocatalytic splitting of seawater. Our extensive characterizations and computational studies show that ionic species in seawater can selectively adsorb on photo-polarized facets of the opposite charge, which can prolong the charge-carrier lifetime by a factor of five, leading to an overall energy conversion efficiency of 15.9 ± 0.4% at 270 °C. Using a light-concentrated furnace, a steady hydrogen evolution rate of 40 mmol g−1 h−1 is demonstrated, which is of the same order of magnitude as laboratory-scale electrolysers."
"
	环境中残留的抗生素及其引起的耐药基因传播给人类健康带来了危害。在众多种类抗生素中，包括青霉素、阿莫西林、头孢氨苄等在内的β-内酰胺类抗生素用量占比约为70%。
	围绕水中β-内酰胺类抗生素的降解难题，近日，中国科学院化学研究所（以下简称化学所）光化学院重点实验室研究员马万红及合作者发现了一种新的光催化体系，能够高效、高选择性地分解β-内酰胺类抗生素分子，并完全脱羧。相关研究成果发表在美国《国家科学院院刊》上。
	目前，常用的生物降解方法处理效率因抗生素分子本身固有的抗菌活性而降低。β-内酰胺类抗生素的生物活性主要来源于β-内酰胺四元环，其开环产物的毒性和可生化性均得到改善。如何实现β-内酰胺四元环的经济、高效开环降解是亟待解决的难题。
	高级氧化技术可以彻底氧化分解抗生素分子，但其产生的羟基自由基等活性物种一般没有选择性，会被水中共存的其它溶解性有机/无机物截获，导致残留的微量抗生素难以经济、有效的去除。
	在最新发表的论文中，研究人员利用过渡金属离子锚定在共价有机框架材料（COFs）上制备了路易斯（Lewis）酸复合光催化剂，发展出一种新的光催化开环-脱羧体系。
	科研人员介绍，作为一类常见的均相Lewis酸催化剂，Cu、Zn等过渡金属离子可催化酰胺键、酯键的水解反应，但由于常温下水解效率低，实际运行中很难通过加热庞大的污/废水体系来实现消除微量抗生素污染物。
	针对这个问题，科研团队发现将Cu锚定在带有联吡啶基团的COF材料上，既可保证Cu的Lewis酸的催化特性，又拓展了COFs材料在可见光区的光热转化效应，将有限的热能最大限度地集中在Cu催化位点上。可见光照射1分钟即可在气/固条件下的Cu位点从室温升温到211℃以上。
	这一催化体系在常温水介质中可将催化位点的局域温度升高到60℃，提高了β-内酰胺键催化分解速率。实验显示，10分钟内的光照射即可完成几乎所有的β-内酰胺类抗生素的开环分解，速率比暗反应提高了24倍。
	科研团队表示，与传统的氧化矿化为主的降解路径不同，该催化体系有效避免了水中共存溶解性有机/无机物的干扰，分解产物的可生化性显著提高，可并入传统生化处理系统有效去除。
	同时，与传统的均相Lewis酸催化相比，该体系的开环分解产物是全脱羧的，具有更低的致畸、致癌以及内分泌干扰等毒性。","score: 44.13569343065694, grade_level: '44'","score: 79.52430656934305, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1073/pnas.2302761120,"For degradation of β-lactam antibiotics pollution in waters, the strained β-lactam ring is the most toxic and resistant moiety to biodegrade and redox-chemically treat among their functional groups. Hydrolytically opening β-lactam ring with Lewis acid catalysts has long been recognized as a shortcut, but at room temperature, such hydrolysis is too slow to be deployed. Here, we found when Cu 2+ was immobilized on imine-linked COF (covalent organic framework) (Cu 2+ /Py-Bpy-COF, Cu 2+ load is 1.43 wt%), as-prepared composite can utilize the light irradiation (wavelength range simulated sunlight) to in situ heat anchored Cu 2+ Lewis acid sites through an excellent photothermal conversion to open the β-lactam ring followed by a desired full-decarboxylation of hydrolysates. Under 1 W/cm 2 simulated sunlight, Cu 2+ /Py-Bpy-COF powders placed in a microfiltration membrane rapidly cause a temperature rising even to ~211.7 °C in 1 min. It can effectively hydrolyze common β-lactam antibiotics in waters and even antibiotics concentration is as high as 1 mM and it takes less than 10 min. Such photo-heating hydrolysis rate is ~24 times as high as under dark and ~2 times as high as Cu 2+ homogenous catalysis. Our strategy significantly decreases the interference from generally coexisting common organics in waters and potential toxicity concerns of residual carboxyl groups in hydrolysates and opens up an accessible way for the settlement of β-lactam antibiotics pollutants by the only energy source available, the sunlight."
"
	近日，西安石油大学新能源学院新能源材料与器件系青年教师何萌博士和团队以改性的富勒烯单体为前驱体，通过Langmuir-Blodgett制膜-快速热解两步法制备了厘米尺寸的单层多孔非晶碳膜，相关研究成果发表在上。
	超薄纳米多孔膜在海水淡化、盐差发电和生物医学等领域具有巨大的应用潜力，纳米厚度使物质跨膜输运阻力大大降低，其显示出优异的渗透性。其中，纳米多孔碳膜因其出色的化学和机械稳定性尤其受到关注。通过自下而上方法，多孔非晶碳膜可以由平面型稠环芳烃分子制备，但由弯曲稠环芳烃（如富勒烯）制备单层多孔非晶碳膜及膜性质的研究还是空白。
	通过常压下可控热解富勒烯可以获得介于富勒烯型碳和石墨烯型碳之间的新型碳材料。经过断裂交联过程，富勒烯笼之间形成了纳米孔结构。但受限于制备方式，所剥离的单层膜一般为微米尺寸，较难进行膜性质研究。
	本研究证明厘米尺寸的单层多孔非晶碳膜为亚稳态结构且不导电。此外，离子跨膜传输研究表明该膜具有阳离子选择性（选择性为26%）。这项工作对单层多孔非晶碳膜的可控制备具有指导意义。",None,None,https://doi.org/10.1002/advs.202308187,"Carbon materials derived from fullerene are reported recently with unique structures and properties. However, only micrometer size samples can be obtained that limits the studying and exploration for membrane applications. Here, the preparation of a centimeter‐size nanoporous amorphous carbon monolayer is reported by rapid pyrolyzing a Langmuir–Blodgett film of fullerene. The sample is fully characterized and the results indicate that the amorphous carbon monolayer derived from fullerene is metastable and insulating. The ionic transmembrane transport study demonstrates that the membrane is porous and cation selective with a selectivity of 26%. This work provides new insights into the controlled synthesis of large‐size metastable amorphous carbon monolayer."
"
	近日，中国科学院大连化学物理研究所研究员刘生忠、副研究员王开团队与中国科学院上海高等研究院研究员李东栋、中国科学院过程工程研究所研究员苗青青合作，设计并合成了不同烷基链长的聚离子液体，在宽带隙钙钛矿与电子传输层之间构建了一个疏水的氢键聚合物网络，制备出高效率的宽带隙钙钛矿太阳电池和钙钛矿/晶硅叠层太阳电池。相关成果
	近年来，钙钛矿太阳电池因具有可低温制备，生产成本低等优点受到大家的广泛关注。单结钙钛矿太阳电池的认证能量转化效率从2009年的3.8%提高到现在的26.1%。为进一步提高现有太阳电池的效率，研究人员致力于制备叠层太阳电池。宽带隙钙钛矿被认为是叠层电池中顶电池的理想吸收层，然而，宽带隙钙钛矿电池的发展受限于器件电压损失高、缺陷浓度高、光照相分离和钙钛矿与传输层能级失配等问题。
	本工作中，该团队设计并合成了不同烷基链长的聚离子液体，构建了一个疏水的氢键聚合物网络，将其作为宽带隙钙钛矿与电子传输层之间的界面钝化层。该策略可以抑制非辐射复合损失，促进载流子传输，显著提高开路电压和填充因子，从而大幅提高器件效率。结果表明，优化后的单结宽带隙钙钛矿电池效率达到23.18%，开路电压达到1.25V。氢键聚合物网络也可抑制离子迁移，并作为防止水和氧侵入的屏障层，使器件表现出出色的热稳定性和湿度稳定性。
	该团队进一步制备了钙钛矿/晶硅叠层太阳电池，器件效率达到28.24%，并展现出良好的运行稳定性。",None,None,https://doi.org/10.1002/anie.202317972,"The pursuit of highly efficient and stable wide‐band gap (WBG) perovskite solar cells (PSCs), especially for monolithic perovskite/silicon tandem devices, is a key focus in achieving the commercialization of perovskite photovoltaics. In this study, we initially designed poly(ionic liquid)s (PILs) with varying alkyl chain lengths based on density functional theory calculations. Results pinpoint that PILs with longer alkyl chain lengths tend to exhibit more robust binding energy with the perovskite structure. Then we synthesized the PILs to craft a hydrophobic hydrogen‐bonded polymer network (HHPN) that passivates the WBG perovskite/electron transport layer interface, inhibits ion migration and serves as a barrier layer against water and oxygen ingression. Accordingly, the HHPN effectively curbs nonradiative recombination losses while facilitating efficient carrier transport, resulting in substantially enhanced open‐circuit voltage (Voc) and fill factor. As a result, the optimized single‐junction WBG PSC achieves an impressive efficiency of 23.18 %, with Voc as high as 1.25 V, which is the highest reported for WBG (over 1.67 eV) PSCs. These devices also demonstrate outstanding thermostability and humidity resistance. Notably, this versatile strategy can be extended to textured perovskite/silicon tandem cells, reaching a remarkable efficiency of 28.24 % while maintaining exceptional operational stability."
"
	近日，松山湖材料实验室研究员刘利峰团队系统总结了混合海水电解制氢最近几年的研究进展。相关论文发表于。
	海水电解是一种很有前景且具有较大成本效益的制氢方法。然而，直接海水电解制氢长期以来一直面临巨大的技术挑战，主要包括较高的电能需求和阳极析氯反应（CER）的干扰，直接导致了海水电解槽具有较低的能量效率低和较短的工作寿命。因此，迫切需要发展新的电解槽设计来解决这一难题。
	混合电解海水制氢是最近一两年提出的一种新的解决方案。混合海水电解制氢利用在热动力学上更有利的小分子阳极氧化反应（AOR）或氧化还原介质的电氧化来取代高能耗的析氧反应（OER）。因为AOR的发生电位远远低于OER和CER，海水电解即使在较高的电流密度下也不会有析氯副反应的发生，从而解决了海水电解时阳极析氯这一难题。同时，由于AOR的电位比较低，电解海水制氢的电能需求也将大大降低，从而有望大幅削减制氢的成本。更为重要的是，如果使用醇类、醛类或生物质衍生物的阳极氧化来取代OER，在海水制氢的同时，还可以生产具有高附加值的化工品或燃料，进一步增加海水制氢的经济可行性。
	刘利峰团队于2021年报道了Co-Ni-P/CP双功能自支撑电极可以实现水合肼氧化辅助的海水电解制氢，在0.533伏的小电压下可取得500 mA/cm的大电流密度，而且没有析氯反应的干扰。他们探索了尿素分子氧化辅助的海水电解制氢，并成功地证明了在无贵金属催化剂参与的情况下，尿素氧化辅助电解海水制氢可以在500 mA/cm的大电流密度下连续工作1000小时无明显的性能衰减，证明了该技术路线在实际中的可行性。
	该综述论文系统总结了混合海水电解制氢目前的研究现状，包括几种混合海水制氢的方式及其优缺点以及最新的自驱动混合海水制氢的概念等。同时，综述对目前混合海水电解制氢中遇到的挑战及未来应该努力的方向提出了自己的观点。",None,None,https://doi.org/10.1002/adma.202308647,"Seawater electrolysis (SWE) is a promising and potentially cost‐effective approach to hydrogen production, considering that seawater is vastly abundant and SWE is able to combine with offshore renewables producing green hydrogen. However, SWE has long been suffering from technical challenges including the high energy demand and interference of chlorine chemistry, leading electrolyzers to a low efficiency and short lifespan. In this context, hybrid SWE, operated by replacing the energy‐demanding oxygen evolution reaction and interfering chlorine evolution reaction (CER) with a thermodynamically more favorable anodic oxidation reaction (AOR) or by designing innovative electrolyzer cells, has recently emerged as a better alternative, which not only allows SWE to occur in a safe and energy‐saving manner without the notorious CER, but also enables co‐production of value‐added chemicals or elimination of environmental pollutants. This review provides a first account of recent advances in hybrid SWE for hydrogen production. The substitutional AOR of various small molecules or redox mediators, in couple with hydrogen evolution from seawater, is comprehensively summarized. Moreover, how the electrolyzer cell design helps in hybrid SWE is briefly discussed. Last, the current challenges and future outlook about the development of the hybrid SWE technology are outlined."
"
	近日，中国科学院院士、南方科技大学讲席教授赵天寿团队通过一种无金属基底的原位生长方式设计了微观传质与界面动力学协同强化的液流电池高性能电极，该电极有效结合了三维垂直结构和原子掺杂的优势，极大地增强了电极、电解液界面的质量传输特性和反应动力学。
	该工作突破了以往电极设计的固有思路，发展了针对液流电池微观传质与界面动力学协同强化的新方法，使得液流电池能量效率和功率密度等关键指标显著提升。相关成果发表于《先进能源材料》。
	在该研究中，科研团队通过无金属基底的热化学气相沉积方法设计了三维垂直石墨烯结构和原子掺杂的复合电极，增强了质量传输特性和反应动力学，实现微观传质与界面动力学协同强化。
	电化学循环性能测试结果显示，研究团队设计的电极在高电流密度下具有出色的性能，表明其在实际应用中具有极大的潜力。此外，在电池长循环测试评估结果表明，该电极在循环1500圈后，能量效率仍超过80.2%，证实了电极的非凡稳定性。
	此外，研究团队通过多维多物理场仿真分析发现，垂直石墨烯结构的引入改善了原始碳毡微观的活性物质传质，提供了更充足的反应物的电化学反应界面。同时，优化的操作条件使得宏观传质在整个多孔电极区域高度均匀化，保证了低局部极化与高功率输出。此外，密度泛函理论计算证据进一步表明，研究团队设计的复合电极有强离子吸附性，有效改善了反应动力学。
	总之，该研究提出了一种无金属基底的原位生长方式，设计了微观传质与界面动力学协同强化的液流电池高性能电极，该电极有效结合了三维垂直石墨烯结构的设计和原子掺杂优势，极大地增强了电极、电解液界面的电化学反应特性和反应动力学，实现了微观传质与界面动力学的协同强化，适用于高性能氧化还原液流电池。",None,None,https://doi.org/10.1002/aenm.202302521,"Graphite felt is commonly used in redox flow batteries, but the low specific surface area and poor catalytic activity cause unsatisfactory mass transfer and reaction kinetics. Here, nitrogen‐doped vertical graphene is in‐situ grown on graphite felt via a metal‐free chemical vapor deposition method, which exhibits a high specific surface area and remarkable catalytic activity due to abundant exposed high‐density sharp graphene edges and nitrogen doping. Multiphysical simulations reveal that the vertical‐standing nanostructure promotes the accessibility of vanadium ions to electrode/electrolyte interfaces, effectively decreasing the mass transport resistance of active species. Density functional theory calculation evidence shows that nitrogen doping aids in the improvement of catalytic activity via boosting vanadium ions’ adsorption and redox. Consequently, the nitrogen‐doped vertical graphene/graphite felt electrode shows an energy efficiency of 87.1% at 200 mA cm−2, significantly higher than that of pristine (65.9%) and air‐oxidize (73.1%) electrodes, an energy efficiency over 80.2% at 300 mA cm−2 during 1500 cycles, and a high‐peak power density of 1308.56 mW cm−2, which are superior to previously reported carbon nanomaterial decorated electrodes for flow batteries. Significantly, the synthesis process only involves gas‐phase reactions without metal catalysts to avoid hydrogen evolution reactions. This work provides an exciting pathway for developing high‐performance electrodes for flow batteries."
"
	丙烯是世界上产量最大的化工品之一，也是重要的基础化工原料。在工业生产中，丙烯与丙烷就像是一对好朋友总是在一起，很难简单分离。
	日前，浙江大学化学工程与生物工程学院、杭州国际科创中心教授邢华斌、研究员杨立峰研究团队研发出一种新型阴离子功能化多孔材料ZU-609，通过调控孔口大小和孔腔尺寸，实现了丙烯丙烷的精准筛分与高丙烯扩散速率。这对于丙烯的低碳分离具有积极影响。成果论文在12月15日在线发表于《科学》。
	 
	丙烯与丙烷通过石油提炼而成，它们只有两个氢原子的差别，而且大小也非常接近，两者分子尺寸差异仅为0.4 ?，相当于百分之四个纳米，正因如此，要把丙烯与丙烷精准而快速地分离开来极具挑战。
	分子筛分是实现尺寸相似物质高选择性识别的关键机理。其基本原理就是仅允许尺寸比吸附剂孔口小的分子进入孔道，尺寸大的分子被阻挡。
	“为了提高烯烃通过速率，工业中常用高温来‘驱赶’气体快点‘跑’。”邢华斌说，但是这种方式降低了吸附剂的工作容量，也增加了分离过程能耗，不利于工业的大规模推广，“热驱动的烯烃生产过程的碳排放约占到全球总碳排放量的1%，是非常耗能的。”
	如何在有限的空间里实现物质快速传递，即化学工程的“限域扩散传质”难题，一直是前沿研究领域。
	为了让分离过程更快速，浙大研究人员采用了“两头小中间大”的筛分孔道，在孔道的进口和出口分别有“隔离墩”来阻挡丙烷分子，丙烯进入之后，又能在“中间宽”的孔道中快速通过，扩散系数相比于之前的分子筛材料提高了1-2个数量级。
	分离的高效则表现在，通过ZU-609分子筛，可从等摩尔丙烯丙烷混合气中分离得到99.97%纯度丙烯。同时材料还表现出优异的脱附再生能力，常温下通过氮气吹扫或者抽真空减压就可以实现材料完全再生。
	“我们研制的新型分子筛，既能够快速拉住通过其中的丙烯分子，同时还能够快速放手，这为高效低碳分离丙烯奠定了基础。”杨立峰说。
	变压吸附计算结果表明，ZU-609丙烯分离能耗相较于之前报道的筛分材料降低2倍、丙烯生产效率提高2倍。“我们的研究为微孔扩散传质强化这一化学工程核心问题提供了新思路，为低碳分离技术发展奠定了基础。”邢华斌介绍，这也有利于超高纯电子化学品的国产化制备。
	该研究得到了国家自然科学基金、浙江省自然科学基金的资助。","score: 53.78121951219512, grade_level: '54'","score: 87.25042682926829, grade_levels: ['college_graduate'], ages: [24, 100]",https://www.science.org/doi/10.1126/science.abn8418,"The design of molecular sieves is vital for gas separation, but it suffers from a long-standing issue of slow adsorption kinetics due to the intrinsic contradiction between molecular sieving and diffusion within restricted nanopores. We report a molecular sieve ZU-609 with local sieving channels that feature molecular sieving gates and rapid diffusion channels. The precise cross-sectional cutoff of molecular sieving gates enables the exclusion of propane from propylene. The coexisting large channels constituted by sulfonic anions and helically arranged metal-organic architectures allow the fast adsorption kinetics of propylene, and the measured propylene diffusion coefficient in ZU-609 is one to two orders of magnitude higher than previous molecular sieves. Propylene with 99.9% purity is obtained through breakthrough experiments with a productivity of 32.2 L kg −1 ."
"
	近日，中国科学院大连化学物理研究所研究员陈庆安团队与华中科技大学研究员袁伟明合作，在光促进的去芳构化构筑桥环化合物研究方面取得新进展，相关成果
	桥联苯并氮杂环作为一种重要骨架，广泛存在于许多天然产物和生物活性分子中，引起了化学家越来越多的关注。然而，由于在合成方面大都面临着底物需要预修饰、合成步骤冗长以及原子经济性差等诸多问题，限制了这些有价值的桥环体系的开发。近些年来，尽管光促进的去芳构化已经取得长足发展，但大部分的反应都局限于富电子的芳香化合物，对于缺电子的芳烃的去芳构化反应还有待开发。此外，由于难以控制的反应位点和立体选择性等问题，使得分子间的去芳构化反应面临挑战。
	陈庆安团队一直致力于发展不同催化体系，以实现烯烃、炔烃的资源化利用和精准转化。本工作中，团队发展了一种光促进的分子间去芳构化反应，通过调控分子间胺环化过程的反应条件，实现了桥联苯并氮杂环的非对映选择性合成。此外，团队还通过一锅串联的胺羟基化和进一步溴化实现了分子骨架的功能化修饰。机理研究表明，该反应是经历光催化的1,4-氢胺烷基化、碱促进的烯烃异构化和分子内氢胺化串联过程。进一步的合成转化证实了该反应具有应用潜力。
	该策略为发展高效构筑桥环化合物的方法提供了新思路。",None,None,https://doi.org/10.1002/anie.202314304,"Bridged benzazepine scaffolds, possessing unique structural and physicochemical activities, are widespread in various natural products and drugs. The construction of these skeletons often requires elaborate synthetic effort with low efficiency. Herein, we develop a simple and divergent approach for constructing various bridged benzazepines by a photocatalytic intermolecular dearomatization of naphthalene derivatives with readily available α‐amino acids. The bridged motif is created via a cascade sequence involving photocatalytic 1,4‐hydroaminoalkylation, alkene isomerization and cyclization. Interestingly, the diastereoselectivity can be regulated through different reaction modes in the cyclization step. Moreover, aminohydroxylation and its further bromination have also been demonstrated to access highly functionalized bridged benzazepines. Preliminary mechanistic studies have been performed to get insights into the mechanism. This method provides a divergent synthetic approach for construction of highly functionalized bridged benzazepines, which have been otherwise difficult to access."
